#separator:tab
#html:true
#notetype:Basic
#deck:ORM 2::Constraints II
#tags:orm tier1-recall constraints phase2
Name the Phase 2 (extended) constraint types.	Disjunctive mandatory, exclusion, exclusive-or, subset, equality, ring, frequency.
What does a <b>disjunctive mandatory</b> constraint assert?	Each instance of the common object type must play <i>at least one</i> of the specified roles. (Also called an inclusive-or / disjunctive mandatory role constraint.)
What does an <b>exclusion</b> constraint assert?	No instance may play both roles simultaneously -- "No Person both authored some Book and reviewed some Book." The roles are mutually exclusive.
What does an <b>exclusive-or</b> constraint combine, and what does it assert?	It combines disjunctive mandatory and exclusion: <i>exactly one</i> of the roles must be played -- at least one (mandatory) and at most one (exclusion).
What does a <b>subset</b> constraint assert, and over what?	Over a pair of role sequences: the population of one role sequence must be a subset of the other. "If chairs then is member of" -- playing the first role implies playing the second.
What does an <b>equality</b> constraint assert?	The populations of two role sequences must be identical -- "start date if and only if end date." Each is a subset of the other, in both directions.
What is a <b>ring</b> constraint, and what must be true of the two roles?	A constraint on a reflexive relationship: a pair of roles in one fact type played by the <i>same</i> object type (e.g. "Person manages Person"). It restricts how instances may relate to themselves and each other.
Name several ring-constraint types.	Irreflexive, asymmetric, antisymmetric, intransitive, acyclic (and symmetric/transitive as their positive counterparts). Each restricts a reflexive relationship differently.
What does an <b>irreflexive</b> ring constraint forbid? Give its FORML shape.	It forbids an object relating to itself. "No Person manages that same Person."
What does an <b>asymmetric</b> ring constraint forbid? Give its FORML shape.	If A relates to B, then B must not relate back to A. "If Person1 manages Person2 then Person2 does not manage Person1."
What does a <b>frequency</b> constraint restrict, and how is the bound written?	How many times an object may play a role, as a min..max bound. Renders as "at least N and at most M", "exactly N" (when min == max), or "at least N" (when max is unbounded).
You see "No Employee both is-salaried and is-hourly." Which constraint is it, and what would make it exclusive-or instead?	An <b>exclusion</b> constraint. It becomes <b>exclusive-or</b> if a disjunctive-mandatory is added so that every Employee must play exactly one of the two roles.
You see "Each Account either is-checking or is-savings but not both." Which constraint?	An <b>exclusive-or</b> constraint over the two roles played by Account.
